"" ,"License ->Content in this spreadsheet is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International license. Details of the license can be seen here: https://creativecommons.org/licenses/by-nc-sa/4.0","Citation->Recommended citation: India Sand Watch, Veditum India Foundation. Accessed via http://sandwatch.envmonitoring.in on 4/12/2026",
"Title","Link","Open access resource","PDF","Summary","Key Points","Focus Region","State","Resource Type","Original date of report publishing","Date of Accessing Resource","Issuing body","Name of the Issuing body","Published Date","lastActivity.date"
"Gazzette Notification (Sand Mining Policy, 2021)","https://allowb.org/grad_pdfs/Gazette%20Notification%20(Sand%20Mining%20Policy).pdf","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2Fe34d85d9-6745-4dfc-8b4b-c0b2199f5240.pdf?generation=1688030755665402&alt=media","A notice for publication of revised framework of  rules and regulations of sand mining policy in 2021.","Policy for regulated sand mining , fair price and ecological protection  . 
 Need for revised framework. 
 Sources of sand in West Bengal . 
 WBMDTCL to focus on buliding capacity. 
 Development of a Centralized Portal and Introduction of Centralized-Challan System for Transportation of Sand. 
 Monitoring activities. 
 ","Regional","West Bengal","Guideline","30-07-2021 18:30:00","29-06-2023 18:30:00","Multi lateral agency (eg : UNEP)","DEPARTMENT OF II\IDUSTRY COMMERCE & ENTERPRISES Mines Branch","29-06-2023","N/A"
"Notification for New Sand Mining Rules 2021 , West Bengal","https://wbllroa.in/wp-content/uploads/2022/05/Notification-New-Sand-Mining-Rules-2021_Department-of-Industry-Commerce-and-Enterprises-Mines-Branch.pdf","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2Fb6664b97-1559-49a9-aa30-bc9a71a8ae7d.pdf?generation=1688103052324278&alt=media","This is a notice to reissue the new sand mining rules in 2021 with explanatory information on the details of how these rules will be put to action.","1. Definition of essential terms in the rules like overburden , e -challan, environemntal clearances , etc . 
 2. Aplicability of the rules in decided sectors. 
 3.General restrictions in underataking sand mining. 
 4. Details regarding payment and short term mining license. 
 5. Prohibition on Transportation, Storage and Sale of Sand. 
 6. Preventive measures for illegal sand mining . 
 7. Instructions related to penalty , compounding of offences and appeal to review orders .","Regional","West Bengal","Guideline","31-01-2022 18:30:00","30-06-2023 18:30:00","Government","DEPARTMENT OF INDUSTRY, COMMERCE & ENTERPRISES Mines Branch","30-06-2023","N/A"
"Socioenvironmental issues of river bed material extraction in the Himalayan piedmont (India)","https://link.springer.com/article/10.1007/s12665-018-7897-1","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F2de828ec-add5-4c4a-ba68-59a55be6f9b0.pdf?generation=1688119239211157&alt=media","The present study focuses on the Balason river running through the Himalayan piedmont zone (near Siliguri, India). The objective of the study is an assessment of the environmental effects of river bed material extraction by humans and the dependence of indigenous people on the river and its ecosystem services. The analysis is based on results of field work consisting of geodetic measurements of the river channel and interviews among the local community from the Nimtijot village. Historical hydrological data were also used for the study. The results of the investigation show that the Balason river is heavily affected by excessive exploitation of river bed material during dry season and the replenishment of extracted material in a monsoon season is not always sufficient. It leads to channel deepening. The local community working in the river heavily depends for its livelihood on continuing this activity. A decreasing amount of bed material to be extracted may lead to degradation of the strong relationship between the local community and their natural environment (river).","The key objectives of the study are investigation of the: 
 a)interaction between the local community and its dependence on river bed material and its ecosystem services; 
 b)environmental effects arising out of river bed material extraction by the local community; and 
 c)evaluation of the prospects of continued river bed material extraction by the local community.","Regional","West Bengal","Research paper","15-10-2018 18:30:00","30-06-2023 18:30:00","Other","Springer","30-06-2023","N/A"
"BUILT ON SAND - AN EXAMINATION OF THE PRACTICE OF SAND MINING IN SOUTH ASIA WITH REFLECTIONS FROM THE MAHAKALI AND THE TEESTA RIVERS","http://pei.center/wp-content/uploads/2019/09/Built-On-Sand_TROSA_PEI.pdf","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F683fb8f6-a85d-4e94-a79c-83c729845109.pdf?generation=1688105753275976&alt=media","This study draws on empirical insights on sand mining practices in the Mahakali River in Nepal and the Teesta River in India to build knowledge base on policies, institutions, and market for river aggregates in the two countries. Additionally, based on the findings, the study forwards specific recommendations to engage with policy makers and private sector to promote more responsible and sustainable sand mining practices.","1. Background and impacts of sand mining . 
 2. Reflections of sand mining isuuses on Teesta river in India and Mahakali river in Nepal. 
 3. Overarching observations and recommendations for sustainable mining of sand . 
  
   
 ","Global ","N/A","Analysis","01-01-2019 18:30:00","30-06-2023 18:30:00","Multi lateral agency (eg : UNEP)","POLICY ENTEPRENEURS INC.","30-06-2023","N/A"
"Sand and Gravel Mining and its Consequences on Morphometry of Raidak-II River in Eastern Dooars, India","https://www.researchgate.net/publication/356729149_Sand_and_Gravel_Mining_and_its_Consequences_on_Morphometry_of_Raidak-II_River_in_Eastern_Dooars_India","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F1d1eda81-cddb-4209-818a-f331e792c983.pdf?generation=1688107800973916&alt=media","The sand and gravel mining plays a signifcant role in changing the morphometric features of any river like shifting of river bank, channel width, channel depth, channel pattern, etc. These impacts become evident due to unscientifc sand and gravel mining which was exponentially increased nowadays. Raidak-II River, consisting 28 mining sites in its course from Bhutanghat to Binnaguri, is well known for maximum number of sand and gravel mining sites of Dooars region of West Bengal. The irrational sand and gravel mining using heavy vehicles and machineries withdraw more sediments than that are naturally offered for removal. Ultimately the health of the river has been affected adversely and these adverse impacts become evident day by day. The present study shows that most part of the left river bank has been shifted toward east for sand and gravel mining compared to the other bank causing more width depth ratio. The mid-channel bars and point bars are dissected and new small channels are formed with consequent higher braiding index. The study reveals that the long profle of the river has been affected forming irregular features with repeated aggradation and degradation. Finally, this study has attempted to assess a perception study of different contributing factors and detected that sand and gravel mining plays most profound action in changing morphometric features of this river compared to other anthropogenic activities on river.","1.The sand and gravel mining plays a signicant role in 
 changing the morphology of any channels like channel width, depth, channel pat- 
 tern, etc. Sand mining is a rising activity in most of the rivers in the agricultural nations in Asia, for example, China, Malaysia, Sri Lanka, Nepal, Maldives, Vietnam, and India. 
 2.The field study confirms that the extraction of sand and gravel mining causes sudden breaks of slope and creates random depression in the river bed. 
 3.The width of the river has been increased gradually in case of most of the mining sites from 2010 to 2015 and from 2015 to 2020  specially for uncontrolled and over mining of sand using machineries and heavy vehicles. 
 3.The data of different contributing factors both natural and anthropogenic factors 
 such as gauge height, sediment load, discharge, bank materials, bank stability and 
 protection, slope, riparian vegetation, sand and gravel mining, river bed agriculture 
 are collected from different sources and used for analyzing rates of contributing 
 weightage responsible for geomorphic changes of this river. 
 ","Regional","West Bengal","Research paper","30-01-2022 18:30:00","30-06-2023 18:30:00","Other","springer nature","30-06-2023","N/A"
"Andhra Pradesh Water, Land and Trees Act, 2004 - Rules","https://www.mines.ap.gov.in/Sand/DownLoadFiles/WALTA_RULES_2004.pdf","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F1a9bc7de-86bd-41bd-b435-a1bfe0d8d874.pdf?generation=1688123595943818&alt=media","Under the Andhra Pradesh Water, Land and Trees Act 2002 (APWALTA, 2002), guidelines for sand mining are laid out under Section 27. This document lays down all the rules for the Act. Sand Mining is under Rule 23 beginning on Page 14. "," 
  
 1. Notification and Prohibition: Areas where sand mining affects the groundwater regime will be notified, and transportation of sand will be prohibited. Mining and transportation of sand will be banned in notified overexploited groundwater micro basins/mandals. 
  
 2. Conditions for Sand Exploitation: 
    - Sand mining is not allowed in notified areas, except for local use in nearby villages or towns along the streams. Mechanical transportation of sand from these notified areas outside the local jurisdiction is banned. 
    - In fourth-order streams, sand mining is restricted to specified areas. 
    - In fifth-order and above rivers (e.g., Godavari, Krishna, Pennar), sand mining may be permitted as long as it does not affect existing sources of irrigation, drinking water, or industrial purposes. 
  
 3. Restrictions: 
    - Sand quarrying is not allowed within 500 meters of existing structures like bridges, dams, weirs, or any other cross drainage structure. 
    - Vehicles carrying sand should not travel over flood banks, except at crossing points, bridges, or on a metal road. 
    - Permission to quarry sand will not be granted within 500 meters of any groundwater extraction structures used for irrigation or drinking water. 
    - The depth of sand removal is limited to a maximum of 2.00 meters in streams/rivers where the sand thickness is more than 8.00 meters but should not exceed two meters in any case. 
    - Sand quarrying is not permitted within 15 meters or 1/5 of the width of the stream bed from the bank, whichever is more. 
    - Sand mining is not allowed in streams where the thickness of sand deposition is less than 2.00 meters. 
    - The depth of sand removal is restricted to one meter in minor streams where the thickness is more than 3.00 meters and less than 8.00 meters. 
    - Sand quarrying is limited to depths above the water table recorded during the monsoon and should not affect or disturb the water table. 
    - The quantity of sand deposited annually in each stream or river will be monitored by establishing observation stations along the stream course. 
  
 4. Joint Inspection and Recommendations: The Ground Water Department will conduct joint inspections with officials from the Mines and Geology Department or other concerned departments to study the impact of sand mining in an area and provide recommendations.","Regional","Andhra Pradesh","Guideline","06-11-2004 18:30:00","30-06-2023 18:30:00","Government","State Government","30-06-2023","N/A"
"Andhra Pradesh Minor Mineral Concession Act 1966 - Rules","https://www.mines.ap.gov.in/miningportal/downloads/APMMC-Rules-1966.pdf","Yes","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F69912fda-e816-4f5f-8ae0-cba355afcd5d.pdf?generation=1688362110807725&alt=media","The Andhra Pradesh Minor Mineral Concession Act 1966 is a legislation governing the regulation and management of minor minerals in the state of Andhra Pradesh, India."," 
  
 1. Definition of minor minerals: The act provides a comprehensive definition of minor minerals, which includes minerals such as limestone, clay, sand, gravel, marble, granite, and other building stones, among others. 
  
 2. Grant of mineral concessions: The act empowers the government to grant mineral concessions for minor minerals through a competitive bidding process or by auction. The concessions may be granted for a specified period and subject to certain conditions. 
  
 3. Application and grant procedure: The act outlines the procedure for applying for a mineral concession, including the submission of an application form and payment of the prescribed fee. The government is responsible for processing the applications and granting concessions based on the eligibility criteria and conditions specified in the act. 
  
 4. Rights and duties of concession holders: The act specifies the rights and duties of mineral concession holders. It grants them the right to extract and transport the minerals within the prescribed limits and conditions. Concession holders are also obligated to comply with the rules, regulations, and environmental norms set by the government. 
  
 5. Regulation of mining operations: The act provides for the regulation and control of mining operations for minor minerals. It includes provisions for the prevention of illegal mining, measures to ensure the safety and welfare of workers, and the protection of the environment. 
  
 6. Royalty and fees: The act outlines the royalty rates and fees payable by the concession holders for the extraction and transportation of minor minerals. These rates may be revised by the government from time to time. 
  
 7. Monitoring and enforcement: The act establishes mechanisms for the monitoring and enforcement of the provisions of the act. It empowers the government to appoint officers, inspectors, and other authorities to carry out inspections, investigate violations, and take necessary actions against offenders. 
  
 8. Offences and penalties: The act specifies various offences related to the illegal extraction, transportation, and storage of minor minerals. It also prescribes penalties, including fines and imprisonment, for contravening the provisions of the act. 
  
 9. Appeals and disputes: The act provides provisions for filing appeals against decisions of the government regarding the grant, renewal, or cancellation of mineral concessions. It also establishes mechanisms for resolving disputes related to the act through arbitration or other legal means. 
  
 10. Rules and regulations: The act empowers the government to make rules and regulations for the effective implementation of the act. These rules may include provisions for the survey, demarcation, and assessment of mineral deposits, as well as other administrative and procedural matters. 
  
 It is important to note that while these key points provide a general overview of the Andhra Pradesh Minor Mineral Concession Act 1966, the actual act may contain additional provisions and details that are not mentioned here.","Regional","Andhra Pradesh","Guideline","25-03-1966 18:30:00","30-06-2023 18:30:00","Government","State Government","03-07-2023","24-01-2025"
"Amendement (September, 2019) to Andhra Pradesh Minor Mineral Concession Rules 1966","https://www.mines.ap.gov.in/Sand/DownLoadFiles/2019INDS_MS71.pdf","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2Fcd4f5cf0-668c-45b5-8e93-9d0e344fc3ce.pdf?generation=1688362895005070&alt=media","The Andhra Pradesh State government announced that, in exercise of the powers conferred by sections 15(1), 15(1A), 21(2), 22, 23, and 23(c) of the Mines and Minerals (Development and Regulation) Act, 1957, the amendments herein would be made to the Andhra Pradesh Minor Mineral Concession Rules, 1966, which were issued in G.O.Ms.No.1172, Industries (B-1), and subsequently amended."," 
 1. Sand sourced from Rivers & Streams: 
    - Sand extraction in certain streams is not permitted in over-exploited areas. 
    - Sand extraction should follow the rules and regulations specified by the government. 
    - Sand transportation should be done using bullock carts or tractors within the district. 
    - Sand from specified stockyards should be supplied for local use, government schemes, and government works. 
  
 2. Identification of Sand reaches in higher order streams: 
    - District Level Sand Committee (DLSC) is responsible for identifying feasible sand bearing areas. 
    - DLSC members include the District Collector, Joint Collector, and various department representatives. 
    - Joint inspections are conducted to assess sand bearing areas and obtain necessary clearances. 
  
 3. Extraction, disposal, and regulation of sand: 
    - Andhra Pradesh Mineral Development Corporation Ltd. (APMDC) is responsible for extracting sand. 
    - Sand extraction should follow approved mining plans, environmental clearances, and consent for operation. 
    - Sand is disposed from specified stockyards by collecting sale price and applicable charges. 
    - Weighment, waybills, and monitoring through CCTV cameras are implemented. 
  
 4. Regulation of sand transportation in higher order streams: 
    - Sand extracted from higher order streams can be utilized anywhere within the state. 
    - District Collectors establish administrative mechanisms for enforcement. 
    - Sand used in weaker section housing schemes is exempt from fees. 
    - The extraction period is one year or until the permitted quantity is exhausted. 
  
 5. State Level Committee (SLC): 
    - SLC includes various government officials to review sand extraction and issue guidelines. 
  
 6. Complaint Redressal Mechanism: 
    - Complaint Redressal Committee and Enquiry Team are established to address grievances related to illegal sand mining. 
    - The process involves filing complaints, conducting inspections, and passing orders. 
  
 7. De-siltation of Dams/Reservoirs/Barrages/Large Tanks: 
    - Irrigation Department and APMDC are involved in de-siltation work. 
    - Joint inspections are conducted, and sand is sourced and disposed of as per the specified procedures. 
  
 8. De-casting sand from Patta lands: 
    - Patta landowners can apply for de-casting sand. 
    - Joint inspections are carried out to assess the land and determine the thickness of sand to be removed. 
  
 These key points provide a condensed overview of the amendements made. ","Regional","Andhra Pradesh","Guideline","04-09-2019 18:30:00","30-06-2023 18:30:00","Government","State Government","03-07-2023","N/A"
"Unaccounted deaths lay bare the dark side of sand mining","https://india.mongabay.com/2022/06/unaccounted-deaths-lay-bare-the-dark-side-of-sand-mining/","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F0bfa1478-3e73-4ee5-893c-b2be951000ee.pdf?generation=1688365678059504&alt=media","Illegal and unscientific sand mining from rivers is generally seen as a threat to the environment, especially aquatic life. But there is another dark side to this that is neither recorded in government files nor discussed enough: the hundreds of unaccounted deaths every year due to sand mining, leaving behind broken families.","According to a study, 418 people lost their lives and 438 people were injured in India during December 2020 to March 2022, in cases related to sand mining. 
 Of the deaths, 49 occurred due to drowning in deep pits formed in the river because of sand mining. No official accounts are maintained to track deaths caused by mining accidents such as drowning and road mishaps. 
 Environmental activists demand greater transparency in decisions taken by the centre or state governments and recommend involving the local people to keep tab on illegal mining. 
 Sand has a high demand globally, with about 5,000 crore (50 billion) metric tonnes of sand and gravel being used annually. Along with China, in India too, sand is mined faster than the rate of its formation. 
 The NCRB report on Accidental Deaths and Suicides in India (ADSI) has categories such as road accidents, speeding, overloading and drowning. But such accidents due to mining are not kept in a separate category.","India ","N/A","Analysis","07-06-2022 18:30:00","03-07-2023 18:30:00","Multi lateral agency (eg : UNEP)","mongabay","03-07-2023","N/A"
"SAND MAFIAS IN INDIA - Disorganized crime in a growing economy","https://globalinitiative.net/wp-content/uploads/2019/07/Sand-Mining-in-India-Report-17Jul1045-Web.pdf","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F924aaf42-bca1-46c9-96d6-3c36ec1f85f0.pdf?generation=1688366583176857&alt=media","This paper looks at patterns of sand mining in India and the impact that it may have on governance, security, the environment and the growth of entrenched criminal networks. The conclusions suggest that civil administration is retreating before a mafia-like nexus of political, business and bureaucratic interests, which connive to flout judicial orders. The secondary and tertiary effects of such activity bode ill for societal stability, even though a certain amount of (tenuous and often exploitative) employment is generated by illicit sand mining. ","1  ‘sand mafias’ 
 2  Sand as a diminishing resource  
 3 How the illicit trade in sand operates  
 4 Political complicity in India’s illicit sand industry  
 5 Dividing communities from within  
 6 Violence and intimidation in the illicit sand industry: ‘Disorganized crime’  
 7 A problem of large but unknown proportions ","India ","N/A","Analysis","01-07-2019 18:30:00","06-07-2023 18:30:00","Civil society / NGO","Global Initiative Against Transnational Organized Crime","06-07-2023","N/A"
"Amendment (November, 2019) to Andhra Pradesh Minor Mineral Concession Rules 1966","https://www.mines.ap.gov.in/miningportal/Downloads/APMMC/2019INDS_MS99.pdf","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F45d2c00d-3944-4942-a8c7-647c29d1facc.pdf?generation=1688368191188366&alt=media","During the review meetings on the implementation of the New Sand Policy (based on the Amendement issued in September, 2019) in the State, it was brought to the notice of the Government that certain individuals have been engaging in illegal stocking, hoarding, black-marketing, and resale of sand. 

This hindered the Government's objective of ensuring affordable prices of sand for the public. After carefully examining the entire matter, the Government decided to curb these illegal activities by imposing stringent punishment. In this issue, they ordered to impose a punishment of imprisonment for up to two (2) years and a fine of Rs. 2,00,000/- (Rupees Two Lakhs) on the individuals involved in illegal stocking, hoarding, black-marketing, and resale of sand.","N/A","Regional","Andhra Pradesh","Guideline","05-11-2019 18:30:00","30-06-2023 18:30:00","Government","State Government","03-07-2023","N/A"
"Amendment (April, 2021) To Andhra Pradesh Minor Mineral Concession Rules 1966","https://www.mines.ap.gov.in/Sand/DownLoadFiles/2021INDS_MS25.pdf","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2Fde68e73c-40a6-4392-9bc4-1906f8a7bdef.pdf?generation=1688368568985154&alt=media","The government has made some changes to the Andhra Pradesh Minor Mineral Concession Rules, 1966. These changes were made using the powers given by certain sections of the Mines and Minerals (Development and Regulation) Act, 1957. The new rules will be effective from the date they are announced. However, the amendments made in 2019 will continue to be in effect until the sand operations are fully taken over by the selected agency or agencies."," 
  
 1. Rule 9-B (1)(a)(iv): 
    - The words ""for local needs by bullock carts and tractors"" will be substituted with ""for local needs by bullock carts."" 
  
 2. Rule 9-B (1)(a)(iv): 
    - Sand will be made available for self-consumption of villages, government-sponsored weaker section housing schemes, and government R&R packages housing free of cost through a coupon system. 
    - The subsidy for this will be borne by the state government. 
    - Statutory levies will be exempted from consumers for sand supply to villages abutting the reaches. 
  
 3. Omission of item (d) in Rule 9-B (1)(a)(iv) and item (m) in Rule 9-B (1)(b)(i). 
  
 4. Rule 9-B (1)(b): 
    - The Deputy Director of Mines & Geology will identify potential sand-bearing areas and submit proposals for extraction to the District Level Sand Committee. 
  
 5. Rule 9-B (1)(b)(iv): 
    - The Deputy Director, Ground Water Dept., will issue clearance for specified sand-bearing areas. 
    - The Executive Engineer/River Conservator will issue clearance for specified sand-bearing areas and provide details of the ramps. 
  
 6. Rule 9-B (1)(b)(iv): 
    - The words ""Assistant Director of Mines and Geology"" will be substituted with ""Deputy Director of Mines and Geology."" 
    - The words ""basing on the Ground Water Department's feasibility report"" will be substituted with ""basing on the Deputy Director Ground Water Department's clearance."" 
  
 7. Omission of item (e) in Rule 9-B (1)(b)(iv). 
  
 8. Rule 9-B (1)(b): 
    - The words ""in the name of District Collector"" will be substituted with ""in the name of the Agency selected for the respective package."" 
  
 9. Substitution of item (vi) under Rule 9-B (1)(b): 
    - Deputy Director of Mines & Geology will intimate the details of new reaches to the Director of Mines & Geology for addition to the selected agency. 
  
 10. Addition of items (vii) and (viii) after item (vi) under Rule 9-B (1)(b). 
  
 11. Substitution of M/s Andhra Pradesh Mineral Development Corporation Ltd. with ""The Agency selected for the particular Sand package"" in Rule 9-B (1)(c). 
 ","Regional","Andhra Pradesh","Guideline","16-04-2021 18:30:00","30-06-2023 18:30:00","Government","State Government","03-07-2023","N/A"
"Standard Operating Procedure (2021) For Andhra Pradesh Minor Mineral Concession Amendement Rules (April, 2021) - Weaker Section Housing and Govt R&R Packages","https://www.mines.ap.gov.in/Sand/DownLoadFiles/Final%20SOP%20with%20Annexures.pdf","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F650ce1c1-eef6-4862-a0f6-a8dcbd92601c.pdf?generation=1688388066190567&alt=media","The Government of Andhra Pradesh, through a notification (G.O.Ms.No.2S, Ind. & Com. (M-III) Dept., dated 16.04.2021), has made changes to the APMMC Rules, 1966. These changes state that sand will be provided free of cost to Government-sponsored Weaker Section Housing Schemes, Government R&R packages, and villages located near the sand reaches. The guidelines for how this will be implemented are specified in the document."," 
 1. Weaker Section Housing and Government R&R Packages: 
 - User Department requests permission from District Collector, providing work details and sand requirement. 
 - District Collector verifies the requirement and issues orders mentioning the source of sand and schedule of lifting. 
 - Department approaches Village/Ward Secretariat with District Collector's orders. 
 - Secretariat issues sand dispatch form to collect sand from the specified stream. 
 - Vehicle driver excavates sand from notified streams and follows regulations. 
 - Any irregularities are reported to authorities for action. 
 - Secretariat maintains a register of permissions for sand lifting. 
 - Sand must be utilized only for the approved purposes. 
  
 2. Government R&R Packages: 
 - Concerned department requests sand requirement from DDMG, providing project details. 
 - DDMG creates a login ID for department contractors to generate sand coupons. 
 - Contractors raise requests for sand based on available reaches. 
 - DDMG allocates sand reach-wise to contractors. 
 - Contractors generate sand coupons using their login credentials and collect sand from the reach. 
 - Sand is issued after verification and scanning of barcodes or QR codes. 
 - Sand must be used as per the District Collector's orders. 
  
 3. Government-sponsored Weaker Section Housing Schemes: 
 - Engineering Assistant of the Panchayat Secretariat issues stage-wise free sand coupons to beneficiaries. 
 - Beneficiaries present coupons to the reach in-charge for sand collection. 
 - Verification of coupons and scanning of QR codes are done before issuing sand. 
 - Beneficiaries transport sand within 21 days from coupon generation. 
 - Engineering Assistant monitors sand receipt and consumption through field verification and geotagged photos. 
 - Coupons are issued based on work progress. 
  
 4. Villages Abutting the Reaches: 
 - DDMG includes eligible revenue villages and habitations. 
 - Engineering Assistant of the Panchayat Secretariat issues free sand coupons to eligible villagers. 
 - Coupons contain necessary details of the villager and construction location. 
 - Sand is collected by presenting the coupon to the reach in-charge. 
 - Sand is issued after verification, scanning, and collection of operation costs for IV & V order streams. 
 - Sand must be transported within 21 days from coupon generation. 
 - Engineering Assistant monitors sand receipt and consumption through field verification and geotagged photos. 
 - Coupons are issued based on work progress.","Regional","Andhra Pradesh","Guideline","27-05-2021 18:30:00","30-06-2023 18:30:00","Government","State Government","03-07-2023","N/A"
"Andhra Pradesh State Assembly Constituency Wise Sale Price of Sand (July, 2021)","https://www.mines.ap.gov.in/Sand/DownLoadFiles/Constituency%20wise%20Sand%20Prices.pdf","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F7f1b083c-c9d1-418b-a44f-5ecdd41a94f7.pdf?generation=1688389204077961&alt=media","The document mentions the Name of nearest Sand Source, Sand Price at Stockyard, Distance, Transportation Cost and Maximum Delivered Cost for all the Constituencies across the 13 State Districts of Andhra Pradesh. ","N/A","Regional","Andhra Pradesh","Guideline","02-07-2021 18:30:00","30-06-2023 18:30:00","Government","State Government","03-07-2023","N/A"
"UNDERSTANDING THE SOCIO-ECOLOGICAL DRIVERS OF SAND MINING AND THEIR IMPACT ON KULSI RIVER, ASSAM, INDIA","http://www.envirobiotechjournals.com/article_abstract.php?aid=12401&iid=348&jid=3","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2Ff25ffaef-e47e-4939-a756-ad8e584fdae7.pdf?generation=1688454865081746&alt=media","This paper seeks to access the socio-economic life driving by the sand mining in the Kulsi river. It also identifies various ecological stress lead by sand mining in the river.","The Kulsi river have high economic importance as it carries quality Pre-Cambrian sand and also have high ecological importance as it sustain the endangered Gangetic Dolphin. The backwardness of socioeconomic status of the surroundings inhabitant is one of the noticeable aspects to the conservation issues associated with riverine ecology. The study shows that at an average 1000 boats are engaged in sand mining activities per day in Kulsi river. The inhabitant also replaces their age-old fishing activities by sand mining as they view it more profitable one at present. Apart from it the unplanned industrial growth near the river and direct release of waste material to the Kulsi river intoxicated the river water and causing danger to dolphin and other aquatic species. Another important aspect is that the high in-stream mining in Kulsi river also affects the sub tributaries and connected wetlands as it become drying condition during winter season. That as a whole threats the organic ecology of the river.","Regional","Assam","Research paper","30-06-2021 18:30:00","04-07-2023 18:30:00","Other","EM International","04-07-2023","N/A"
"Andhra Pradesh Government Proceedings on Sand Depot wise Sale Prices (August, 2021)","https://www.mines.ap.gov.in/Sand/DownLoadFiles/Govt.%20Proceedings%20on%20fixation%20of%20sand%20depot%20wise%20sale%20prices.pdf","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F30666ff3-f424-4e79-bb78-0216eb3001bf.pdf?generation=1688455398547886&alt=media","This document mentions work orders issued in favour of M/s Jaiprakash Power Ventures, revision of existing transportation rates for supply of sand, and depot wise revised sale price of sand. ","It references Memo No. INC01-MG0DMGE/294/2021-M-III: Uploaded on the portal titled ""Andhra Pradesh Government Memo on Base Rates for Trasportation of Sand (August, 2021)""","Regional","Andhra Pradesh","Guideline","17-08-2021 18:30:00","30-06-2023 18:30:00","Government","State Government","04-07-2023","N/A"
"Andhra Pradesh Government Memo on Base Rates for Transportation of Sand (August, 2021)","https://www.mines.ap.gov.in/Sand/DownLoadFiles/Govt.%20Memo%20on%20Base%20Rates%20for%20Transoprtation%20of%20Sand.pdf","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2Fa98df7e6-2c3b-48a3-be46-37fb668909ac.pdf?generation=1688456248211646&alt=media","The Government revised base rates for Sand Transporation based on the advice of the Director of Mines and Geology, AP due to an increase in Wholesale Price Index. ","The revised actual rates for sale from each depot based on this revision is uploaded on the portal titled ""Andhra Pradesh Government Proceedings on Fixation of Sand Depot wise Sale Prices (August, 2021)""","Regional","Andhra Pradesh","Guideline","17-08-2021 18:30:00","30-06-2023 18:30:00","Government","State Government","04-07-2023","N/A"
"West Bengal Minor Minerals Rules, 2002","http://dmm.gov.in/pdfs/wbmmr2002-rules.pdf","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F27dbd357-8ea2-46e2-be9b-4a40fb07a50b.pdf?generation=1688974045693717&alt=media","Rules for minor minerals in West Bengal","rules for - 
 Prohibition of Mining Operation without perrnit or Mining Lease 
 Application for Mirning Lease 
 Refusal of application for grant of a mining lease 
 Area of mining lease and permits  
 list of minor minerals  
 format for application , aknowledgement , clearnace ,etc for mining  
 ","Regional","West Bengal","Guideline","08-11-2002 18:30:00","10-07-2023 18:30:00","Government","DEPARTMENT OF INDUSTRY, COMMERCE & ENTERPRISES Mines Branch","10-07-2023","N/A"
